type,nb_photo,prix,code.postal,transport.0,transport.1,transport.2,nb_pieces,nb_chambres,surface,lat,lon,url,Latitude_transport.0,Longitude_transport.0,Latitude_transport.1,Longitude_transport.1,Latitude_transport.2,Longitude_transport.2,distance_station_0,distance_station_1,distance_station_2,Cathédrale Notre-Dame de Paris,Basilique du Sacré-Cœur de Montmartre,Musée du Louvre,Tour Eiffel,Centre Pompidou,Musée d’Orsay,Cité des sciences et de l’industrie,Chapelle Notre-Dame de la Médaille miraculeuse,Grand site du Jardin des plantes,Arc de triomphe,Grand Palais,distance_université_plus_près
appartement,6,513000,75005,MAUBERT - MUTUALITE,CLUNY-LA SORBONNE,CARDINAL LEMOINE,2,1,29,48.848916,2.347537,/annonces/appartement-paris-5e-75005-r430000699,48.84967872805,2.349054919735,48.8507957557,2.34503088837,48.846553052999994,2.3515734426900003,139.9027280818823,278.3663649532593,395.75733867759027,489.11883067458376,4230.849207634768,1529.3866069592661,4021.6945465736208,1349.1154449873661,1963.5580536435002,5995.839204244505,1815.5778675237138,469.012184616279,4737.424364417637,3221.0240073881273,322.83287585859557
appartement,13,1680000,75016,MICHEL-ANGE - AUTEUIL,EGLISE D'AUTEUIL,CHARDON-LAGACHE,4,3,105,48.847766,2.264925,/annonces/appartement-paris-16e-r425701318,48.8482932033,2.26443965006,48.84773910226,2.269740475772,48.8451041396,2.26693605903,68.61764754979824,352.7710701234587,330.920199262316,6259.031451260796,7182.306784400687,5557.773163746296,2461.1486846422317,6569.635230264408,4714.4448276267885,10474.295366437993,4262.500564854632,6435.331396510791,3639.8904232621953,4024.1613341617713,2351.4537778751705
appartement,11,540000,75016,MICHEL-ANGE - AUTEUIL,JASMIN,EGLISE D'AUTEUIL,2,1,48,48.849969,2.266292,/annonces/appartement-paris-16e-75016-r429800426,48.8482932033,2.26443965006,48.8521868703,2.26793425931,48.84773910226,2.269740475772,230.67804133072713,274.63952783179144,354.16381879156944,6140.860592879852,6955.425931653288,5399.531966237834,2262.841309913255,6422.156233336211,4552.737736583254,10264.206083100655,4149.619498780049,6345.399738578582,3384.806204514202,3816.4766688361524,2109.5458538315784
appartement,0,1200000,75016,MIRABEAU,EGLISE D'AUTEUIL,JAVEL,4,3,96,48.845004,2.272372,/annonces/appartement-paris-16e-75016-r430400898,48.8470848589,2.27307491492,48.84773910226,2.269740475772,48.84773910226,2.269740475772,237.29471370157762,360.3684969967712,360.3684969967712,5755.751074199706,6958.071575707173,5133.90109058721,2191.939562704665,6118.527596768154,4303.941237898152,10176.734934017713,3759.928215401642,5890.599568178659,3607.7880148297827,3750.5536628545715,2265.901906832655
appartement,8,1180000,75016,MIRABEAU,EGLISE D'AUTEUIL,JASMIN,4,2,91,48.849819,2.272133,/annonces/appartement-paris-16e-75016-r430400289,48.8470848589,2.27307491492,48.84773910226,2.269740475772,48.8521868703,2.26793425931,312.08626509506956,290.3860525758105,405.0586647302647,5714.722831625053,6625.135672972354,4988.408495041141,1888.5879994786765,6005.490071251925,4143.5809082294945,9903.882421303115,3722.3706729912506,5917.319020945074,3150.824929940871,3454.100174376838,1829.230904256114
appartement,12,920000,75016,MIRABEAU,JAVEL,EGLISE D'AUTEUIL,3,2,73,48.845164,2.272605,/annonces/appartement-paris-16e-75016-r429901544,48.8470848589,2.27307491492,48.8459458249,2.277655142075,48.8459458249,2.277655142075,216.58237036227817,380.0642234269528,380.0642234269528,5736.144496634851,6933.468882772043,5111.683638137079,2167.3273469503574,6097.113645412369,4281.330262656276,10152.647252014149,3740.059772712214,5873.059740362795,3584.1282599801507,3726.085318667971,2242.0064587507154
appartement,6,790000,75008,MIROMESNIL,SAINT-AUGUSTIN,GARE SAINT-LAZARE,3,2,72,48.875519,2.317105,/annonces/appartement-paris-8e-75008-r430401034,48.8734603255,2.31604128892,48.874602347214285,2.320007593782857,48.87554491366875,2.3246778749887502,242.0424852460594,235.74266741778263,554.4517176240751,3476.6397886232116,2275.187576005606,2215.117413765966,2536.0206962737702,3077.1671435475055,1870.244429714047,5655.577715084581,2779.6404713283914,4155.910981463451,1627.2789846556045,1101.32177376734,2588.1597593143124
appartement,12,610000,75008,MIROMESNIL,SAINT-AUGUSTIN,SAINT-PHILIPPE DU ROULE,3,1,50,48.874415,2.315934,/annonces/appartement-paris-8e-r428000363,48.8734603255,2.31604128892,48.874602347214285,2.320007593782857,48.8724706658,2.31076910123,106.56380246305925,298.9804814094017,435.7214619087958,3450.595861497469,2415.170036682605,2190.608310606401,2387.0047445208297,3086.6320562144506,1792.326420640356,5783.734072494577,2673.356396727523,4116.68966778987,1531.6292238826668,958.1362090413753,2449.5830882161017
appartement,2,1620000,75017,MONCEAU,MALESHERBES,VILLIERS,4,2,140,48.88112,2.310154,/annonces/appartement-paris-17e-r426101306,48.880441965433334,2.308925469916667,48.8825364729,2.31100924301,48.88153763275,2.31601753796,117.41218447216337,169.6558593802681,431.75652665080173,4279.293428629305,2487.39422854758,3018.065197036427,2791.0052943069613,3850.237942964638,2649.0862428912587,5924.534019084853,3497.6207425744956,4960.711164000974,1375.7307662060753,1672.0712032376819,2631.01093260134
appartement,8,530000,75009,NOTRE-DAME DE LORETTE,LE PELETIER,CADET,2,1,46,48.87633,2.339964,/annonces/appartement-paris-9e-r428700891,48.8760505542,2.33790869204,48.87469794555,2.339461911955,48.87592637704,2.34329881272,153.6581457979285,185.3611002982845,248.25358325037186,2699.070397388628,1187.3609690591488,1696.067132255156,3889.735137271116,1977.0098398123291,2073.1551056348208,4126.216318038958,3099.3113923406977,3453.374094493427,3301.5587738017775,2325.340822197697,2786.4777631785532
appartement,13,1900000,75016,OCTAVE FEUILLET,RUE DE LA POMPE (AVENUE GEORGES MANDEL),LA MUETTE,3,2,150,48.865091,2.270395,/annonces/appartement-paris-16e-r427300474,48.8630940543,2.269567919535,48.8642533844,2.27791676203,48.8580950497,2.27409644811,230.40254657089756,558.6578726211179,824.6143272180099,5983.509420876337,5840.526968087858,4972.340479804731,1922.0683215663091,6031.748533094679,4154.933068882395,9259.791716022435,4161.395435399344,6378.194771643442,2047.2414702751666,3065.3385702580244,711.538767156927
appartement,8,950000,75013,OLYMPIADES,BIBLIOTHEQUE FRANCOIS MITTERRAND,CHEVALERET,4,3,89,48.82917,2.369248,/annonces/appartement-paris-13e-75013-r429901479,48.827035169,2.3670112583266665,48.83007476916,2.377293642812,48.8349649707,2.36809134588,288.6962695605868,598.1388583704174,650.6374084724463,3004.2835158416956,6697.4804449335325,4231.142692181831,6362.012242947208,3707.430322105999,4635.245012132852,7537.681030692821,4164.130754542343,2273.766722572882,7362.675458323278,5865.767218721353,865.2669187083836
appartement,12,670000,75013,OLYMPIADES,PORTE D'IVRY,MARYSE BASTIE,2,1,67,48.826003,2.369219,/annonces/appartement-paris-13e-r427401017,48.827035169,2.3670112583266665,48.8213541419,2.3701248830866666,48.82262408326667,2.35831118161,198.44495428906092,521.7499665909507,883.4961706033761,3318.823691194398,7035.375533101903,4530.718415375052,6546.865069590475,4041.1063553849513,4900.05755261026,7884.98287532578,4376.28071500218,2578.2089893960674,7603.517287027645,6117.054982698906,982.5284399271607
